asv_id	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13
ASV_1	15	9	13	13	7	15	10	0	0	0	0	0	0
ASV_3	12	3	6	0	8	0	12	0	0	0	14	11	10
ASV_4	165	93	145	82	165	4	108	57	84	19	61	65	106
ASV_5	110	138	102	197	82	150	144	25	13	10	0	43	10
ASV_6	0	1	20	22	6	1	2	0	0	0	3	3	0
ASV_7	2	2	2	0	0	0	0	0	0	0	0	2	0
ASV_8	111	48	61	73	70	47	43	4	21	8	21	54	26
ASV_9	27	0	33	69	66	53	35	0	0	0	39	22	40
ASV_10	17	19	12	11	16	16	20	0	0	0	0	2	6
ASV_11	0	12	0	0	0	0	0	2	18	1	0	0	16
ASV_12	198	69	138	156	131	59	224	32	40	0	43	81	23
ASV_13	311	299	266	248	236	326	239	204	174	51	213	139	220
ASV_14	81	95	202	210	185	117	163	0	20	0	141	89	70
ASV_15	16	21	48	53	0	34	19	0	9	0	0	34	36
ASV_17	14	17	0	54	27	9	0	0	13	0	0	15	15
ASV_18	0	0	0	0	0	0	0	0	310	252	103	0	106
ASV_19	252	54	141	126	116	113	155	0	6	16	28	34	41
ASV_20	40	0	19	4	0	15	17	0	0	0	0	0	0
ASV_21	198	295	371	262	111	174	306	89	0	85	105	28	65
ASV_22	24	8	22	15	23	23	7	0	0	0	5	3	0
ASV_23	6	0	16	0	20	0	0	19	0	10	0	2	0
ASV_24	0	0	5	0	1	0	2	0	0	0	0	0	1
ASV_26	173	143	262	197	138	148	188	36	47	0	73	83	63
ASV_27	221	52	214	217	140	33	110	42	33	7	89	149	87
ASV_28	0	0	52	135	84	35	0	0	0	0	0	4	0
ASV_29	138	72	221	179	127	136	164	0	11	2	40	58	16
ASV_30	40	32	31	27	32	28	42	9	0	0	5	0	0
ASV_31	36	0	43	33	0	0	30	81	39	0	47	32	26
ASV_32	0	0	0	0	0	0	0	16	5	0	0	0	2
ASV_33	19	0	13	16	18	12	0	0	0	0	0	6	0
ASV_34	3	19	0	10	0	2	0	21	16	60	31	62	44
ASV_35	19	0	31	0	40	0	16	0	0	51	36	45	19
ASV_36	82	14	56	14	90	41	77	0	46	40	71	61	0
