asv_id	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
ASV_8	5	0	7	0	13	9	22	0	7
ASV_11	0	44	26	28	4	56	0	44	26
ASV_13	60	43	0	40	32	42	0	43	0
ASV_17	0	0	17	0	1	0	0	0	17
ASV_19	0	177	19	423	136	179	56	177	19
ASV_20	47	0	0	0	0	0	75	0	0
ASV_22	10	27	0	28	0	10	0	27	0
ASV_24	0	0	0	7	2	0	0	0	0
ASV_26	0	33	44	0	11	0	0	33	44
ASV_28	20	9	13	9	70	0	44	9	13
ASV_32	33	0	41	26	37	0	0	0	41
ASV_35	0	4	3	7	13	36	0	4	3
ASV_37	76	0	0	0	0	0	58	0	0
ASV_38	0	2	6	24	0	20	34	2	6
ASV_39	0	0	0	0	14	1	39	0	0
ASV_40	0	0	0	0	0	40	3	0	0
ASV_41	0	0	27	25	0	26	0	0	27
ASV_44	0	8	6	0	11	0	5	8	6
ASV_52	0	23	0	16	43	2	2	23	0
ASV_56	0	22	0	0	39	114	73	22	0
ASV_65	20	5	0	0	12	8	25	5	0
ASV_69	7	0	0	0	0	0	15	0	0
ASV_74	0	47	17	0	72	0	21	47	17
ASV_76	0	60	38	68	0	137	119	60	38
ASV_77	0	0	29	0	33	0	10	0	29
ASV_82	0	0	57	0	70	7	138	0	57
ASV_85	0	11	0	0	0	0	0	11	0
ASV_90	0	0	115	0	130	0	55	0	115
ASV_91	0	0	0	0	163	11	0	0	0
ASV_92	0	96	0	18	45	30	0	96	0
ASV_93	0	114	74	60	181	19	15	114	74
ASV_94	0	49	2	77	11	19	8	49	2
ASV_96	13	56	40	46	49	39	40	56	40
ASV_98	0	12	0	0	0	0	0	12	0
ASV_99	0	936	95	1852	598	965	312	936	95
ASV_100	0	0	0	3	3	0	1	0	0
ASV_102	0	28	0	0	8	0	0	28	0
ASV_103	0	51	38	0	16	57	0	51	38
ASV_107	0	0	0	0	27	20	0	0	0
ASV_108	0	0	0	54	0	36	0	0	0
ASV_109	0	53	32	0	0	20	0	53	32
ASV_110	0	58	57	277	0	418	0	58	57
ASV_112	51	165	0	43	0	124	40	165	0
ASV_113	0	58	0	0	0	0	0	58	0
ASV_116	0	47	0	16	33	0	18	47	0
ASV_122	0	38	0	0	23	42	0	38	0
ASV_126	0	0	12	17	0	0	0	0	12
ASV_130	51	0	41	49	0	63	25	0	41
ASV_131	10	32	26	10	60	0	28	32	26
ASV_133	0	2	0	0	0	0	0	2	0
ASV_134	0	22	8	0	38	0	16	22	8
ASV_135	26	0	27	4	10	0	0	0	27
ASV_144	0	0	58	0	33	0	0	0	58
ASV_145	0	95	61	0	69	33	73	95	61
ASV_153	1	0	0	2	0	0	0	0	0
ASV_158	45	0	0	0	0	0	93	0	0
ASV_162	0	0	3	0	28	0	10	0	3
ASV_163	0	34	15	0	7	0	0	34	15
ASV_195	0	0	2	0	0	0	0	0	2
ASV_197	0	12	0	0	0	0	0	12	0
ASV_207	0	103	56	57	60	9	89	103	56
ASV_208	0	0	16	0	113	0	146	0	16
ASV_212	0	0	3	0	0	0	0	0	3
ASV_217	0	17	0	7	0	0	20	17	0
ASV_220	25	0	1	0	0	0	0	0	1
ASV_225	0	20	0	0	0	0	0	20	0
ASV_227	0	0	9	0	0	0	0	0	9
ASV_248	0	0	0	0	7	0	10	0	0
ASV_252	0	0	2	0	0	0	0	0	2
ASV_258	0	3	0	0	0	0	0	3	0
ASV_263	0	0	7	0	0	0	0	0	7
ASV_271	0	11	0	0	0	21	0	11	0
ASV_277	0	57	0	0	0	0	0	57	0
ASV_287	0	0	4	0	0	0	0	0	4
